SMILES,N2
*OC1=CC=C(C=C1)C(=O)C1=CC=C(C=C1)C1=CC=C(C=C1)C(=O)C1=CC=C(OC2=CC=C(C=C2)S(=O)(=O)C2=CC=C(*)C=C2)C=C1,0.11
*OC1=CC=C(C=C1)C1(C2=C(C=CC=C2)C2=C1C=CC=C2)C1=CC=C(OC(=O)C2=CC=CC(=C2)C(*)=O)C=C1,0.64
*OC1=CC=C(C=C1)C1(C2C=CC=CC2C2C=CC=CC12)C1=CC=C(OC2=CC=C(C=C2)S(=O)(=O)C2=CC=C(*)C=C2)C=C1,0.484
*OC1=CC=C(C=C1)C1(C2CC3CC(C2)CC1C3)C1=CC=C(OC2=CC=C(C=C2)S(=O)(=O)C2=CC=C(*)C=C2)C=C1,0.332
*OC1=CC=C(C=C1)C1(NC(=O)C2C=CC=CC12)C1=CC=C(OC2=CC=C(C=C2)C(=O)C2=CC=C(*)C=C2)C=C1,0.0921
*OC1=CC=C(C=C1)C1(OC(=O)C2=C1C=CC=C2)C1=CC=C(OC(=O)C2=CC=CC(=C2)C(*)=O)C=C1,0.342
*OC1=CC=C(C=C1)C1(OC(=O)C2=C1C=CC=C2)C1=CC=C(OC2=CC=C(C=C2)S(=O)(=O)C2=CC=C(*)C=C2)C=C1,0.17
*OC1=CC=C(C=C1)C1(OC(=O)C2=CC=CC=C12)C1=CC=C(OC(=C)C2=CC=C(C=C2)C2=CC=C(C=C2)C(*)=O)C=C1,0.282
*OC1=CC=C(C=C1)C1(OC(=O)C2C=CC=CC12)C1=CC=C(OC2=CC=C(C=C2)C(=O)C2=CC=C(*)C=C2)C=C1,0.153
*OC1=CC=C(C=C1)C1(OC(=O)C2C=CC=CC12)C1=CC=C(OC2=CC=C(C=C2)C(=O)C2=CC=C(C=C2)C(=O)C2=CC=C(*)C=C2)C=C1,0.0728
*OC1=CC=C(C=C1)C12CC3CC(C1)CC(C3)(C2)C1=CC=C(OC2=CC=C(C=C2)S(=O)(=O)C2=CC=C(*)C=C2)C=C1,0.455
*OC1=CC=C(C=C1)C1=CC=C(OC2=CC=C(C=C2)S(=O)(=O)C2=CC=C(*)C=C2)C=C1,0.24
*OC1=CC=C(C=C1)C1=NN(C(=O)C2C=CC=CC12)C1=CC=C(C=C1)C(=O)C1=CC=C(*)C=C1,0.11
*OC1=CC=C(C=C1)C1=NN(C2=CC=C(C=C2)S(=O)(=O)C2=CC=C(*)C=C2)C(=O)C2=C1C=CC=C2,0.027
*OC1=CC=C(C=C1)S(=O)(=O)C1=CC=C(OC2=CC3=CC(*)=CC=C3C=C2)C=C1,0.0735
*OC1=CC=C(C=C1)S(=O)(=O)C1=CC=C(OC2=CC3=CC=C(*)C=C3C=C2)C=C1,0.0507
*OC1=CC=C(C=C1)S(=O)(=O)C1=CC=C(OC2=CC=C(C=C2)C2(C3=C(C=CC=C3)C3=C2C=CC=C3)C2=CC=C(*)C=C2)C=C1,0.484
*OC1=CC=C(C=C1)S(=O)(=O)C1=CC=C(OC2=CC=C(C=C2)C2=CC=C(*)C=C2)C=C1,0.236
*OC1=CC=C(C=C1)S(=O)(=O)C1=CC=C(OC2=CC=C(OC3=CC=C(*)C=C3)C=C2)C=C1,0.196
*OC1=CC=C(C=C1)S(=O)(=O)C1=CC=C(OC2=CC=CC3=C(*)C=CC=C23)C=C1,0.0568
*OC1=CC=C(C=C1O*)C1=C(C2=CC=C(C=C2)C#N)C(C2=CC=C(C=C2)C#N)=C(C2=CC=C3OC4=C(OC3=C2)C(C#N)=C(*)C(*)=C4C#N)C(C2=CC=C(C=C2)C#N)=C1C1=CC=C(C=C1)C#N,52.0
*OC1=CC=C(OC2=CC3=C(C=C2)C(=O)N2C4=C(C=C(OC5=CC6=C(C=C5)N=C5N6C(=O)C6=C5C=CC(*)=C6)C=C4)N=C32)C=C1,0.036
*OC1=CC=C(OC2=CC=C(C=C2)C(=O)C2=CC=C(*)C=C2)C=C1,0.0398
*OC1=CC=C(OC2=CC=C(OC3=CC=C(C=C3)S(=O)(=O)C3=CC=C(*)C=C3)C=C2)C=C1,0.196
*OCCCCCC(*)=O,0.59
*SC1=CC=C(*)C=C1,0.046
BrC1=CC(*)=CC=C1CC1=C(Br)C=C(C=C1)N1C(=O)C2=CC=C(C=C2C1=O)C1=CC2=C(C=C1)C(=O)N(*)C2=O,0.0103
BrC1=CC(=CC(Br)=C1O*)C1(C2C=CC=CC2C2C=CC=CC12)C1=CC(Br)=C(OC(=O)C2=CC=CC(=C2)C(*)=O)C(Br)=C1,0.704
BrC1=CC(=CC(Br)=C1O*)C1(OC(=O)C2=C1C=CC=C2)C1=CC(Br)=C(OC(=O)C2=CC=CC(=C2)C(*)=O)C(Br)=C1,0.282
BrC1=CC(C*)=CC=C1C*,0.00061
BrC1=CC=C(C=C1)C(*)C*,0.32
BrC1=CC=C(C=C1)C1=C(C2=CC=C(Br)C=C2)C(C2=CC=C3OC4=C(OC3=C2)C(C#N)=C(*)C(*)=C4C#N)=C(C2=CC=C(Br)C=C2)C(C2=CC=C(Br)C=C2)=C1C1=CC=C(O*)C(O*)=C1,54.0
BrC1=CC=C(OP(*)(OC2=CC=C(Br)C=C2)=N*)C=C1,0.18
CC(*)(C*)C(=O)OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,15.0
CC(*)(C*)C1=CC=CC=C1,0.15
CC(*)=C(*)C1=CC=CC=C1,12.25
CC(*)=C(*)[Si](C)(C)C,5650.0
CC(*)C*,0.5
CC(=O)OC(*)CC(C*)(C#N)C#N,0.0138
CC(=O)OC1=CC=C(C=C1)C(*)C*,0.64
CC(=O)OC1=CC=C2C=C(C=CC2=C1C1=C(OC(C)=O)C=CC2=CC(*)=CC=C12)N1C(=O)C2=C(C=C(C=C2)C(=O)C2=CC3=C(C=C2)C(=O)N(*)C3=O)C1=O,0.15
CC(=O)OC1=CC=C2C=C(C=CC2=C1C1=C(OC(C)=O)C=CC2=CC(*)=CC=C12)N1C(=O)C2=C(C=C(C=C2)C(C2=CC3=C(C=C2)C(=O)N(*)C3=O)(C(F)(F)F)C(F)(F)F)C1=O,0.23
CC(=O)OC1=CC=C2C=C(C=CC2=C1C1=C(OC(C)=O)C=CC2=CC(*)=CC=C12)N1C(=O)C2=C(C=C(OC3=CC4=C(C=C3)C(=O)N(*)C4=O)C=C2)C1=O,0.1
CC(=O)OC1C(*)C(COC(=O)NC(C)(C)C)OC(O*)C1OC(C)=O,0.98
CC(=O)OC1OC(O*)C(OC(C)=O)C(O)C1*,0.14
CC(=O)OC1OC(O*)C(OC(C)=O)C(OC(C)=O)C1*,0.23
CC(C)(*)C*,0.76
CC(C)(C)C1=CC(*)=CC(=C1)C1=NC2=C(N1)C=CC(=C2)C1=CC2=C(NC(*)=N2)C=C1,0.06
CC(C)(C)C1=CC(=CC(=C1)C(*)=O)C(=O)NC1=CC=C(C=C1)C(=O)C1=CC=C(N*)C=C1,0.23
CC(C)(C)C1=CC(=CC(=C1)C(=O)NC1=CC=C(C=C1)C1(C2C=CC=CC2C2C=CC=CC12)C1=CC=C(*)C=C1)C(=O)N*,1.404
CC(C)(C)C1=CC(=CC(=C1)C(=O)OC1=C(Br)C=C(C=C1Br)C(C)(C)C1=CC(Br)=C(O*)C(Br)=C1)C(*)=O,0.89
CC(C)(C)C1=CC(=CC(=C1)C(=O)OC1=C(Br)C=C(C=C1Br)C(C1=CC(Br)=C(O*)C(Br)=C1)(C(F)(F)F)C(F)(F)F)C(*)=O,4.47
