SMILES,CH4
CC(C)(C)C1=CC(=CC(=C1)C(=O)OC1=C(Br)C=C(C=C1Br)C1(OC(=O)C2C=CC=CC12)C1=CC(Br)=C(O*)C(Br)=C1)C(*)=O,1.09
CC(C)(C)C1=CC(=CC(OP(Cl)(*)=NP(OC2=CC(=CC(=C2)C(C)(C)C)C(C)(C)C)(OC2=CC(=CC(=C2)C(C)(C)C)C(C)(C)C)=N*)=C1)C(C)(C)C,5.0
CC(C)(C)C1=CC(OC2=CC=C(C=C2)C(=O)C2=CC=C(*)C=C2)=CC=C1O*,0.221
CC(C)(C)C1=CC(OC2=CC=C(C=C2)C(=O)NC2=CC=C(C=C2)C(C)(C)C2=CC=C(N*)C=C2)=C(C=C1OC1=CC=C(C=C1)C(*)=O)C(C)(C)C,0.47
CC(C)(C)C1=CC(OC2=CC=C(C=C2)C(=O)NC2=CC=C(C=C2)C(C2=CC=C(N*)C=C2)(C(F)(F)F)C(F)(F)F)=C(C=C1OC1=CC=C(C=C1)C(*)=O)C(C)(C)C,1.24
CC(C)(C)C1=CC2=C(C=C1)C1=C(C=C(C=C1)C(C)(C)C)C2(C1=CC=C(*)C=C1)C1=CC=C(C=C1)N1C(=O)C2=C(C=C(C=C2)C(C2=CC3=C(C=C2)C(=O)N(*)C3=O)(C(F)(F)F)C(F)(F)F)C1=O,14.6
CC(C)(C)C1=CC=C(C=C1)C(*)=C(*)C1=CC=C(O)C=C1,46.0
CC(C)(C)C1=CC=C(C=C1)C(*)=C(*)C1=CC=C(O[Si](C)(C)C(C)(C)C)C=C1,540.0
CC(C)(C)C1=CC=C(C=C1)C(*)=C(*)C1=CC=CC(O)=C1,490.0
CC(C)(C)C1=CC=C(C=C1)C(*)=C(*)C1=CC=CC(O[Si](C)(C)C(C)(C)C)=C1,3300.0
CC(C)(C)C1=CC=C(C=C1)C(*)C*,16.7
CC(C)(C)C1=CC=C(C=C1)C1=CC=C(C=C1)C(*)=C(*)C1=CC=C(C=C1)[Si](C)(C)C,730.0
CC(C)(C)C1=CC=C(C=C1)C1=CC=C(C=C1)C(*)=C(*)C1=CC=CC=C1,190.0
CC(C)(C)C1=CC=C(OC2=CC3=C(C=C2C2=C(OC4=CC=C(C=C4)C(C)(C)C)C=C4C(=O)N(C(=O)C4=C2)C2=CC=C(OC4=CC=C(*)C=C4)C=C2)C(=O)N(*)C3=O)C=C1,3.16
CC(C)(C)C1=CC=C(OP(*)(OC2=CC=C(C=C2)C(C)(C)C)=N*)C=C1,1.7
CC(C)(C)COP(*)(OCC(C)(C)C)=N*,7.51
CC(C)(C)OC(=O)C(C)(*)C*,0.719
CC(C)(C)[Si](C)(C)OC1=CC(=CC=C1)C(*)=C(*)C1=CC=C(C=C1)[Si](C)(C)C,1100.0
